id,first_name,last_name,email,signup_date,amount,country
1,  Alice ,Smith,ALICE@example.com,2024-01-05,120.50,us
2,Bob,  Jones  ,bob@Example.COM,2024-01-06,75.00,US
3,Carol,Lee,carol@example.com,2024-01-07,200.25,us
3,Carol,Lee,carol@example.com,2024-01-07,200.25,us
4,  david ,BROWN,DAVID@EXAMPLE.COM,2024-01-08,0.00,Us
5,Eve,Black,EVE@example.com   ,2024-01-09,99.99,us
6,Frank ,White,frank@example.com,2024-01-10,450.00,US
7,Grace,Green, grace@example.com ,2024-01-11,10.10,us
8,Heidi,Kim,HEIDI@example.com,2024-01-12,320.40,Us
9,Ivan,  Petrov,ivan@example.com,2024-01-13,55.55,us
10,Judy,Nguyen,JUDY@EXAMPLE.COM,2024-01-14,1000.00,US
2,Bob,  Jones  ,bob@Example.COM,2024-01-06,75.00,US
11,Ken,Ito,ken@example.com,2024-01-15,15.75,us
12,Liam,  o'brien  ,LIAM@example.com,2024-01-16,80.00,US
13,Mia,Davis,mia@example.com,2024-01-17,42.00,us
